,Weight
2-Jul-21,
3-Jul-21,
4-Jul-21,
5-Jul-21,
6-Jul-21,
7-Jul-21,187.5
8-Jul-21,
9-Jul-21,
10-Jul-21,
11-Jul-21,
12-Jul-21,
13-Jul-21,
14-Jul-21,
15-Jul-21,186.6
16-Jul-21,
17-Jul-21,
18-Jul-21,
19-Jul-21,
20-Jul-21,
21-Jul-21,
22-Jul-21,
23-Jul-21,
24-Jul-21,
25-Jul-21,
26-Jul-21,
27-Jul-21,
28-Jul-21,
29-Jul-21,
30-Jul-21,
31-Jul-21,
1-Aug-21,
2-Aug-21,
3-Aug-21,
4-Aug-21,
5-Aug-21,
6-Aug-21,
7-Aug-21,
8-Aug-21,
9-Aug-21,
10-Aug-21,
11-Aug-21,
12-Aug-21,
13-Aug-21,
14-Aug-21,
15-Aug-21,
16-Aug-21,
17-Aug-21,
18-Aug-21,
19-Aug-21,
20-Aug-21,
21-Aug-21,
22-Aug-21,
23-Aug-21,
24-Aug-21,
25-Aug-21,185.8
26-Aug-21,
27-Aug-21,
28-Aug-21,
29-Aug-21,
30-Aug-21,
31-Aug-21,
1-Sep-21,
2-Sep-21,
3-Sep-21,
4-Sep-21,
5-Sep-21,
6-Sep-21,
7-Sep-21,
8-Sep-21,
9-Sep-21,
10-Sep-21,
11-Sep-21,
12-Sep-21,
13-Sep-21,
14-Sep-21,
15-Sep-21,
16-Sep-21,185.1
17-Sep-21,
18-Sep-21,
19-Sep-21,
20-Sep-21,
21-Sep-21,
22-Sep-21,
23-Sep-21,
24-Sep-21,
25-Sep-21,
26-Sep-21,
27-Sep-21,
28-Sep-21,
29-Sep-21,
30-Sep-21,
1-Oct-21,
2-Oct-21,
3-Oct-21,
4-Oct-21,
5-Oct-21,
6-Oct-21,
7-Oct-21,
8-Oct-21,
9-Oct-21,
10-Oct-21,
11-Oct-21,
12-Oct-21,
13-Oct-21,
14-Oct-21,184.9
15-Oct-21,
16-Oct-21,
17-Oct-21,
18-Oct-21,
19-Oct-21,
20-Oct-21,
21-Oct-21,
22-Oct-21,184.5
23-Oct-21,
24-Oct-21,
25-Oct-21,
26-Oct-21,
27-Oct-21,183.1
28-Oct-21,
29-Oct-21,182.3
30-Oct-21,
31-Oct-21,
1-Nov-21,
2-Nov-21,
3-Nov-21,
4-Nov-21,
5-Nov-21,
6-Nov-21,
7-Nov-21,
8-Nov-21,
9-Nov-21,
10-Nov-21,
11-Nov-21,181.5
12-Nov-21,
13-Nov-21,
14-Nov-21,
15-Nov-21,
16-Nov-21,
17-Nov-21,
18-Nov-21,
19-Nov-21,
20-Nov-21,
21-Nov-21,
22-Nov-21,
23-Nov-21,
24-Nov-21,
25-Nov-21,
26-Nov-21,
27-Nov-21,
28-Nov-21,
29-Nov-21,
30-Nov-21,
1-Dec-21,
2-Dec-21,
3-Dec-21,
4-Dec-21,
5-Dec-21,
6-Dec-21,
7-Dec-21,
8-Dec-21,
9-Dec-21,
10-Dec-21,
11-Dec-21,180.9
12-Dec-21,
13-Dec-21,
14-Dec-21,
15-Dec-21,180.6
16-Dec-21,180.1
